"","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9","Trial 10","Trial 1 RT","Trial 2 RT","Trial 3 RT","Trial 4 RT","Trial 5 RT","Trial 6 RT","Trial 7 RT","Trial 8 RT","Trial 9 RT","Trial 10 RT","Seq"
"nd03ir04",1,1,0,1,1,1,1,1,1,1,13.9817412000011,8.35018399999899,1.55702930000189,2.72312790000069,0.695831799999723,0.844022199999017,1.16095249999853,1.02413480000178,0.68846190000113,3.22369640000034,1
"ND4AR06",1,1,1,1,1,1,1,1,1,1,6.05377429999862,4.42165279999972,4.0695893000011,7.30037400000219,10.2936346999995,12.8193291999996,11.6563586000011,9.64035119999971,5.64202669999941,6.64471430000049,1
"NN05RT30",0,1,1,0,1,0,1,1,1,1,14.1323071000006,1.29629299999942,12.4410356999979,7.07268670000121,2.09508679999999,3.33077839999896,0.482948199998646,0.483097899999848,0.866744400002062,0.337734299999283,1
"ON05NS",0,1,1,1,1,1,1,1,1,1,10.6423749000023,5.40763000000152,9.85575019999669,1.94903319999867,5.13104600000224,1.07543540000188,2.72483650000504,1.75751890000538,8.22420690000581,2.19487249999656,1
"on06lf03",1,0,0,1,1,1,1,0,1,1,2.87826479999785,2.08080359999803,4.04937470000004,0.605107700001099,0.649764399997366,0.935646099998849,0.629620699997758,0.152797099999589,1.53140910000002,0.185758699997677,1
"PE06SE02",1,1,1,1,1,1,1,1,0,1,2.07087139999931,7.39661519999936,2.5551544000009,3.12443369999892,1.59622110000055,2.29580200000055,0.274962300001789,0.993856099998084,1.91028759999972,3.03242870000031,1
"RD08AV13",1,1,1,1,1,1,1,1,0,1,31.4501956000022,24.5859487000016,22.8857521999998,1.59433989999889,19.597782599998,18.2873633999989,38.3880549000023,15.8253989999976,7.98208090000116,21.1073786000015,1
"rg05le19",1,1,1,1,1,0,1,0,1,1,3.96144329999879,10.0347082999979,7.75099359999876,8.10003639999923,8.07415390000097,17.144879200001,6.89575759999934,12.9922050999994,7.35117309999987,7.57276470000215,1
"TE8ES30",1,1,1,0,1,1,1,0,0,1,2.46458480000001,3.27936299999419,1.69933269999456,2.35404820000258,2.68087060000107,2.97134070000175,1.97993190000125,5.01158029999351,2.53194110000186,0.818636900003185,1
"TH05AS16",1,1,1,1,1,0,1,1,0,1,2.37362209999992,10.8304844999998,0.479029900000114,2.89868630000001,9.43661599999996,1.48387720000028,25.3450725999996,1.74406320000026,17.9617244000001,0.426931299999978,1
"TI07AN13",1,1,1,1,0,1,1,1,0,0,2.47594590000062,3.59936010000001,0.108890400000746,1.06429649999973,4.80985099999998,0.132884000000558,3.90559350000058,1.32121289999941,1.52725499999997,1.05908510000063,1
"UD05RS01",1,1,1,0,1,0,0,1,0,1,5.36898479999945,1.50758349999887,1.68344060000163,1.9701361999978,1.77000680000128,1.01066699999865,1.25892029999886,0.818264699999418,3.53624180000043,1.02521569999953,1
"YB02RD21",0,0,1,1,1,1,1,1,1,1,16.4265787000004,4.30238760000066,7.10708169999998,1.76618980000057,5.3199545000025,4.28425779999816,6.64942840000003,0.70285469999726,2.5162614999972,0.0315975999983493,1
"AG05EL17",0,1,1,1,1,1,1,1,1,1,9.3737555000007,9.46429629999693,9.59839850000208,11.0915720000012,10.7913169999993,2.08602720000272,0.944205499999953,2.31625829999757,0.856512300000759,16.6713230000023,0
"AU06NE01",0,1,1,0,1,1,1,1,1,1,3.81234760000007,14.4539921000001,1.36806669999987,12.6953037000003,0.988767299999836,0.29419179999968,13.1898953,0.678512399999818,0.954707599999892,3.56606880000027,0
"brodor",0,1,1,1,1,1,1,1,0,1,33.6395072000005,3.28728440000032,3.80940159999955,0.790028000000348,1.81714140000076,7.25300760000027,2.27673219999997,5.07452269999976,22.1526353999998,22.2221299000003,0
"CARSPI",1,1,1,1,1,1,1,1,1,1,10.1179425999981,10.5263343000006,8.40582200000063,16.9246295999983,1.0002327000002,6.05952439999965,8.56022760000269,1.05981989999782,4.10022949999984,2.9844783999979,0
